titulo,link,nivel,materia,fonte_nivel,canal,canal_id
🟢 Questão 136 - Caderno Azul | Estatística | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=ocOsGKmj1fU,Média,Estatística,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 149 - Caderno Azul | Escala | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=yboKAiMwxX4,Difícil,Escala,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 150 - Caderno Azul | Geometria Plana | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=7nbCHHqxEDI,Média,Geometria Plana,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 151 - Caderno Azul | Porcentagem | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=SnQM1ravxe8,Fácil,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 152 - Caderno Azul | Lógica | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=0QE8pYpeRJ0,Média,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 153 - Caderno Azul | Trigonometria | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=08_nVX3LETE,Média,Trigonometria,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 154 - Caderno Azul | Progressão Aritmética | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=fzi-_q2sUDE,Fácil,Progressão Aritmética,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 155 - Caderno Azul | Interpretação de Gráfico | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=zD2fYoBJi4A,Fácil,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 156 - Caderno Azul | Probabilidade | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=cX_BDQIJliM,Média,Probabilidade,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 157 - Caderno Azul | Função do 1º Grau | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=w4GdAZt3h-I,Média,Função de 1º Grau,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 158 - Caderno Azul | Lógica | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=08Uyl_AEA_M,Fácil,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 159 - Caderno Azul | Razão e Proporção | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=V9NQD2RJ3Ck,Fácil,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 160 - Caderno Azul | Razão e Proporção | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=pGIzO3yRhSM,Média,Razão e Proporção,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 161 - Caderno Azul | Porcentagem | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=3xjEsUG1PBU,Média,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 162 - Caderno Azul | Razão e Proporção | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=j0O0QkzddP4,Média,Razão e Proporção,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 163 - Caderno Azul | Sistemas de Equações | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=DNrEaose07I,Fácil,Sistema de Equações,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 164 - Caderno Azul |  Função do 2 Grau | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=645qtAh-txY,Difícil,Função do 2º Grau,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 165 - Caderno Azul | Geometria Plana | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=J3OQ8lZjKew,Média,Geometria Plana,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 166 - Caderno Azul | Progressão Aritmética | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=ryhPVCLGNLY,Difícil,Progressão Geométrica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 167 - Caderno Azul | Razão e Proporção | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=giBNAchXsRE,Média,Razão e Proporção,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 168 - Caderno Azul | Sistemas de Equações | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=RwpC4EGVFvc,Média,Sistema de Equações,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 169 - Caderno Azul | Matemática Financeira | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=wLROOTOj28w,Média,Matemática Financeira,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 170 - Caderno Azul | Função do 1º Grau | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=hl3WZDeJX04,Fácil,Matemática Financeira,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 171 - Caderno Azul | Unidades de Medida  | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=WSgbGLU-hOc,Fácil,Função do 1º Grau,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 172 - Caderno Azul | Função de 2º Grau | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=2NpoqqOoesE,Fácil,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 173 - Caderno Azul | Interpretação de Gráfico | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=pPZj2nQZ2Xk,Média,Função do 2º Grau,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 174 - Caderno Azul | Análise Combinatória | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=lu9WHK9zK40,Fácil,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 175 - Caderno Azul | Matemática Financeira | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=TRFRZrSp5C8,Média/difícil,Análise Combinatória,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 176 - Caderno Azul | Unidades de Medida | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=W6gnjjX0Zds,Fácil,Matemática Financeira,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 177 - Caderno Azul | Porcentagem | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=esbS_BzH8Xs,Fácil,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 178 - Caderno Azul | Probabilidade | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=xQyvBTYtU6M,Fácil,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 179 - Caderno Azul | Geometria Plana | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=PPKbGKTPsIA,Média,Probabilidade,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🟢 Questão 180 - Caderno Azul | Geometria Espacial | MATEMÁTICA ENEM DIGITAL 2020,https://www.youtube.com/watch?v=HnyqEIpxrM8,Média,Geometria Plana,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 136 - Caderno Azul | Função de Segundo Grau | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=6ugKDKlW2ik,Média,Função do segundo grau,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 138 - Caderno Azul | Mediana | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=oo-QcbRT0AY,Fácil,Mediana,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 139 - Caderno Azul | Escala | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=22Ne1B87xic,Fácil,Escala,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 140 - Caderno Azul | Lógica | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=9JcwFlinahs,Média,Análise combinatória,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 141 - Caderno Azul | Análise Combinatória | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=RL9Kn9LN2Eo,Difícil,Probabilidade,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 142 - Caderno Azul | Análise Combinatória | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=1NjacRIrR5s,Difícil,Análise combinatória,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 143 - Caderno Azul | Geometria Espacial | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=kJN8JWKPz1Y,Média,Geometria plana,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 144 - Caderno Azul | Lógica | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=ORjU64jj8mc,Média,Matemática básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 145 - Caderno Azul | Razão e Proporção | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=KPnQFX5G2g8,Média,Razão e proporção,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 146 - Caderno Azul | Sistemas de Equações | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=49fPFQzq6Z0,Média,Sistema de equações,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 147 - Caderno Azul | Porcentagem e Razão e Proporção | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=GSWpRmNsfPQ,Fácil,Marketing digital,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 148 - Caderno Azul | Razão e Proporção | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=bCV4t2SGs_k,Fácil,Matemática básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 149 - Caderno Azul | Mediana | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=hNeZxrAhXbU,Fácil,Mediana,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 150 - Caderno Azul | Função do Segundo Grau | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=6a1d3cz2GYU,Média,Função do segundo grau,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 151 - Caderno Azul | Porcentagem | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=yCBEx2lumeM,Média,Razão e proporção,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 152 - Caderno Azul | Geometria Plana | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=TmKGZRBwtmQ,Média,Razão e proporção,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 153 - Caderno Azul | Geometria Espacial | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=rYJQUFLNQoU,Média,Geometria espacial (Cone),confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 154 - Caderno Azul | Porcentagem | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=ktyiQRcHUTM,Fácil,Fator de redução,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 155 - Caderno Azul | Análise Combinatória | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=E7xJrzm8eQA,Difícil,Análise combinatória,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 156 - Caderno Azul | Projeção | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=TCbK6xlTRLc,Média,Geometria espacial (Cubo),confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 158 - Caderno Azul | Função do Segundo Grau | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=sqnTtC9DGDE,Difícil,Matemática básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 159 - Caderno Azul | Sequencias | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=y6X4oupwjec,Média,Matemática básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 160 - Caderno Azul | Projeção Ortogonal | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=dF6YlYnLuzY,Difícil,Projeção ortogonal,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 161 - Caderno Azul | Escala | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=nObeUz0unoE,Média,Matemática básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 162 - Caderno Azul | Progressão Aritmética | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=2owzamg7mcE,Fácil,Matemática básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 163 - Caderno Azul | Estatística | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=MlTcdUubf4o,Média,Média ponderada,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 164 - Caderno Azul | Razão e Proporção | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=CgwilaHAQPI,Fácil,Matemática básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 165 - Caderno Azul | Razão e proporção | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=cJSQdl1rmns,Média,Matemática básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 166 - Caderno Azul | Interpretação de Gráfico | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=u3nbqODcc54,Fácil,Matemática básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 167 - Caderno Azul | Porcentagem | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=wG69jAT9E3Q,Fácil,Porcentagem,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 168 - Caderno Azul | Lógica | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=DZmCK5Kvj8I,Fácil,Lógica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 169 - Caderno Azul | Geometria Espacial | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=2muo_wZXCRs,Média,Geometria espacial,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 170 - Caderno Azul | Razão | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=HskvD3jhMBo,Fácil,Razão e proporção,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 171 - Caderno Azul | Média | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=IzLxMxeYTWk,Fácil,Média,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 172 - Caderno Azul | Geometria Espacial | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=C6hKnfk4vrs,Média,Geometria espacial,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 173 - Caderno Azul |  | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=EuWlmE5UdcA,Fácil,Matemática básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 174 - Caderno Azul | Volume da Esfera e do Cilindro | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=h13TDAtTpFE,Média,Geometria espacial (Esfera),confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 175 - Caderno Azul | Unidade de medida | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=5QTXVRw0krc,Fácil,Matemática básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 176 - Caderno Azul | Teorema de Pitágoras | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=BNMU0nLsiKA,Difícil,Matemática básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 177 - Caderno Azul | Razão e Proporção | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=iphsuevbYlw,Fácil,Matemática básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 178 - Caderno Azul | Geometria Espacial | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=1BIXRjetzzk,Média,Geometria espacial (Esfera),confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 179 - Caderno Azul | Proporção | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=s_fpLxDEeKI,Fácil,Média/Sequência,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔘Questão 180 - Caderno Azul | Projeção Ortogonal | MATEMÁTICA ENEM 2022,https://www.youtube.com/watch?v=bQYrnh8xKWg,Média,Projeção ortogonal,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔵 Questão 136 - Caderno Azul | Geometria Plana | MATEMÁTICA ENEM 2020,https://www.youtube.com/watch?v=q1GkqCrEgFg,Médio,Geometria Plana,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔵 Questão 137  - Caderno Azul | Razão e Proporção | MATEMÁTICA ENEM 2020,https://www.youtube.com/watch?v=1a33k8_dU0M,Fácil,Razão e Proporção,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔵 Questão 138  - Caderno Azul | Escala | MATEMÁTICA ENEM 2020,https://www.youtube.com/watch?v=HMdxuiFLaHk,Médio,Escala,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔵 Questão 139 - Caderno Azul | Razão e Proporção | MATEMÁTICA ENEM 2020,https://www.youtube.com/watch?v=jDF4bNA4P9s,Fácil,Razão e Proporção,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔵 Questão 140  - Caderno Azul | Geometria Plana | MATEMÁTICA ENEM 2020,https://www.youtube.com/watch?v=uDAKEmbasA4,Fácil,Geometria Plana,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔵 Questão 141  - Caderno Azul | Lógica | MATEMÁTICA ENEM 2020,https://www.youtube.com/watch?v=-JqQSMwUGAs,Difícil,Raciocínio Lógico,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔵 Questão 142  - Caderno Azul | Probabilidade | MATEMÁTICA ENEM 2020,https://www.youtube.com/watch?v=6ZxcVzuGQII,Fácil,Probabilidade,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔵 Questão 143  - Caderno Azul | Progressão Aritmética | MATEMÁTICA ENEM 2020,https://www.youtube.com/watch?v=KGtDKmC-gP8,Médio,Progressão Aritmética,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔵 Questão 144  - Caderno Azul | Razão e Proporção | MATEMÁTICA ENEM 2020,https://www.youtube.com/watch?v=oUQAQOfCRKI,Fácil,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔵 Questão 145  - Caderno Azul | Geometria espacial | MATEMÁTICA ENEM 2020,https://www.youtube.com/watch?v=EjFbbFx78qk,Médio,Geometria Espacial,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔵 Questão 146  - Caderno Azul | Sistema de Equações | MATEMÁTICA ENEM 2020,https://www.youtube.com/watch?v=dt2MGcYFza4,Difícil,Inequação e Módulo,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔵 Questão 147  - Caderno Azul | Razão e Proporção | MATEMÁTICA ENEM 2020,https://www.youtube.com/watch?v=7kJZKJpEt8w,Fácil,Razão e Proporção,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔵 Questão 148  - Caderno Azul | Porcentagem | MATEMÁTICA ENEM 2020,https://www.youtube.com/watch?v=46Y_MZu2nVQ,Fácil,Porcentagem,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔵 Questão 149  - Caderno Azul | Logaritmo | MATEMÁTICA ENEM 2020,https://www.youtube.com/watch?v=S8PuaI1J1lU,Difícil,Logaritmo,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔵 Questão 150  - Caderno Azul | Função Exponencial | MATEMÁTICA ENEM 2020,https://www.youtube.com/watch?v=4NIXYsf4rww,Médio,Função Exponencial,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔵 Questão 151  - Caderno Azul | Geometria Espacial | MATEMÁTICA ENEM 2020,https://www.youtube.com/watch?v=0_kyi96-Grk,Médio,Geometria Espacial,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔵 Questão 152  - Caderno Azul | Geometria Espacial | MATEMÁTICA ENEM 2020,https://www.youtube.com/watch?v=ku47Mpa-YQo,Médio,Geometria Espacial,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
🔵 Questão 153  - Caderno Azul | Razão e Proporção | MATEMÁTICA ENEM 2020,https://www.youtube.com/watch?v=a8yCE0f332s,Médio,Matemática Básica,confirmado_transcricao_ia,xequemat enem,UCNXVflJrlyP4DXm5KqYOxmA
